Codigo,Município,Ano,Negativo,Positivo,Femenino,Masculino,20 - 39 anos,40 - 59 anos
350560,BARRINHA,2024,11,1,1,110,5,3
350570,BARUERI,2024,153,1,2,8,6,1
350580,BASTOS,2024,11,3,,7,2,6
350590,BATATAIS,2024,7,11,1,187,,2
350600,BAURU,2024,213,27,1,6,2,18
350610,BEBEDOURO,2024,8,2,21,1,5,19
350620,BENTO DE ABREU,2024,1,,11,8,1,
350630,BERNARDINO DE CAMPOS,2024,11,1,1,85,,1
350635,BERTIOGA,2024,82,1,,19,,
350650,BIRIGUI,2024,21,1,,11,21,1
350660,BIRITIBA-MIRIM,2024,12,,1,3,17,4
350670,BOA ESPERANCA DO SUL,2024,5,4,1,2,1,1
350680,BOCAINA,2024,2,,6,3,,1
350690,BOFETE,2024,1,1,7,12,,5
350700,BOITUVA,2024,12,2,6,3,,12
350710,BOM JESUS DOS PERDOES,2024,1,5,,,2,4
350715,BOM SUCESSO DE ITARARE,2024,,19,12,,5,
350730,BORACEIA,2024,1,1,9,4,1,
350740,BORBOREMA,2024,5,2,4,32,1,15
350750,BOTUCATU,2024,47,11,4,37,8,2
350760,BRAGANCA PAULISTA,2024,40,14,,1,9,13
350770,BRAUNA,2024,,1,121,1,16,4
350775,BREJO ALEGRE,2024,,,8,,1,
350780,BRODOWSKI,2024,1,16,,4,2,1
350790,BROTAS,2024,,3,3,9,17,
350800,BURI,2024,5,1,10,2,13,166
350810,BURITAMA,2024,10,,2,2,10,16
350820,BURITIZAL,2024,2,5,3,12,5,6
350830,CABRALIA PAULISTA,2024,2,1,40,19,9,
350840,CABREUVA,2024,16,4,104,22,1,1
350850,CACAPAVA,2024,21,7,1,2,204,3
350860,CACHOEIRA PAULISTA,2024,20,10,2,2,8,7
350870,CACONDE,2024,2,15,2,29,2,5
350880,CAFELANDIA,2024,2,3,10,15,1,5
350900,CAIEIRAS,2024,35,1,1,26,1,59
350910,CAIUA,2024,15,2,1,7,6,109
350920,CAJAMAR,2024,25,,6,1,1,2
350925,CAJATI,2024,3,1,1,13,9,5
350930,CAJOBI,2024,1,1,1,1,18,3
350940,CAJURU,2024,2,,2,337,9,11
350945,CAMPINA DO MONTE ALEGRE,2024,,1,5,22,69,2
350950,CAMPINAS,2024,378,8,1,9,149,5
350960,CAMPO LIMPO PAULISTA,2024,16,2,7,1,6,5
350970,CAMPOS DO JORDAO,2024,6,28,1,5,1,2
350980,CAMPOS NOVOS PAULISTA,2024,1,75,2,9,8,3
350990,CANANEIA,2024,2,11,1,3,13,
351000,CANDIDO MOTA,2024,11,,8,11,1,8
351015,CANITAR,2024,3,1,42,23,2,2
351020,CAPAO BONITO,2024,17,1,,12,17,5
351030,CAPELA DO ALTO,2024,23,2,14,115,5,2
351040,CAPIVARI,2024,11,1,48,218,1,8
351050,CARAGUATATUBA,2024,134,1,1,1,,54
351060,CARAPICUIBA,2024,267,2,3,13,3,1
351070,CARDOSO,2024,2,4,78,1,1,1
351080,CASA BRANCA,2024,10,9,3,12,7,12
351090,CASSIA DOS COQUEIROS,2024,1,8,1,19,1,58
351100,CASTILHO,2024,12,1,2,4,1,3
351110,CATANDUVA,2024,29,1,2,17,11,3
351120,CATIGUA,2024,1,,1,11,,85
351130,CEDRAL,2024,4,1,61,2,57,1
351140,CERQUEIRA CESAR,2024,21,1,13,2,2,1
351150,CERQUILHO,2024,11,2,2,4,10,1
351160,CESARIO LANGE,2024,3,11,7,1,79,8
351170,CHARQUEADA,2024,4,1,1,11,2,1
351200,COLINA,2024,5,12,4,5,4,2
351210,COLOMBIA,2024,1,4,13,5,100,1
351220,CONCHAL,2024,14,2,40,1,5,4
351230,CONCHAS,2024,3,20,2,,1,2
351240,CORDEIROPOLIS,2024,7,2,,17,,
351250,COROADOS,2024,2,1,22,1,2,64
351260,CORONEL MACEDO,2024,,,42,94,79,9
351280,COSMOPOLIS,2024,19,1,44,4,16,
351290,COSMORAMA,2024,1,15,1,1,4,3
351300,COTIA,2024,109,1,9,18,10,3
351310,CRAVINHOS,2024,1,5,,134,,
351330,CRUZALIA,2024,1,1,1,5,4,
351340,CRUZEIRO,2024,30,2,1,6,14,1
351350,CUBATAO,2024,158,4,1,170,49,8
351360,CUNHA,2024,3,5,3,1,15,41
351370,DESCALVADO,2024,9,2,3,1,18,
351380,DIADEMA,2024,161,,3,1,49,5
351390,DIVINOLANDIA,2024,1,2,2,1,38,37
351400,DOBRADA,2024,,10,2,11,136,41
351430,DOURADO,2024,,1,1,1,15,50
351440,DRACENA,2024,14,,1,3,5,1
351450,DUARTINA,2024,1,2,1,1,,8
351460,DUMONT,2024,4,1,5,4,1,10
351470,ECHAPORA,2024,1,1,18,2,10,2
351480,ELDORADO,2024,5,7,1,126,1,2
351490,ELIAS FAUSTO,2024,3,2,152,20,2,1
351492,ELISIARIO,2024,1,,249,,1,3
351500,EMBU DAS ARTES,2024,171,6,1,7,6,5
351510,EMBU-GUACU,2024,29,,1,7,2,3
351512,EMILIANOPOLIS,2024,,17,28,1,1,2
351515,ENGENHEIRO COELHO,2024,9,4,1,2,7,6
351518,ESPIRITO SANTO DO PINHAL,2024,13,,,,1,2
351519,ESPIRITO SANTO DO TURVO,2024,2,,1,4,4,3
351520,ESTRELA D'OESTE,2024,2,1,3,17,8,
351530,ESTRELA DO NORTE,2024,,2,5,1,13,6
351540,FARTURA,2024,8,10,9,70,18,1
351550,FERNANDOPOLIS,2024,29,8,1,17,12,18
351560,FERNANDO PRESTES,2024,1,2,10,23,215,11
351570,FERRAZ DE VASCONCELOS,2024,95,1,2,84,366,3
351600,FLORIDA PAULISTA,2024,18,2,1,62,2,140
351610,FLORINIA,2024,19,5,8,169,1,249
351620,FRANCA,2024,80,1,6,1,75,
351630,FRANCISCO MORATO,2024,92,,7,23,1,1
351640,FRANCO DA ROCHA,2024,185,16,2,15,1,33
351650,GABRIEL MONTEIRO,2024,1,,28,,1,
351660,GALIA,2024,20,,2,3,3,4
351670,GARCA,2024,21,15,7,12,7,2
351685,GAVIAO PEIXOTO,2024,,,2,2,11,3
351690,GENERAL SALGADO,2024,4,,2,4,5,7
351700,GETULINA,2024,12,1,,4,5,15
351710,GLICERIO,2024,2,,,8,3,1
351720,GUAICARA,2024,5,,1,5,,1
351730,GUAIMBE,2024,7,1,2,2,8,5
351740,GUAIRA,2024,8,11,2,13,14,5
351750,GUAPIACU,2024,8,1,,3,4,17
351760,GUAPIARA,2024,3,1,39,4,1,10
351770,GUARA,2024,12,,25,,34,14
351780,GUARACAI,2024,3,3,26,11,1,3
351790,GUARACI,2024,5,2,13,9,19,26
351810,GUARANTA,2024,,,47,22,2,
351820,GUARARAPES,2024,12,3,7,30,1,
351830,GUARAREMA,2024,12,2,1,15,2,2
351840,GUARATINGUETA,2024,32,1,1,301,2,13
351850,GUAREI,2024,27,2,1,551,3,
351860,GUARIBA,2024,14,4,46,2,2,2
351870,GUARUJA,2024,410,2,2,1,13,1
351880,GUARULHOS,2024,611,1,3,1,2,1
351885,GUATAPARA,2024,2,24,12,101,9,1
351890,GUZOLANDIA,2024,1,,1,2,,3
351900,HERCULANDIA,2024,1,4,,6,44,2
351905,HOLAMBRA,2024,1,,1,3,47,6
351907,HORTOLANDIA,2024,116,,18,3,48,40
351910,IACANGA,2024,2,4,5,3,11,1
351925,IARAS,2024,7,1,3,12,83,31
351930,IBATE,2024,1,,9,20,10,25
351940,IBIRA,2024,4,6,21,6,2,13
351950,IBIRAREMA,2024,5,1,6,,1,44
351960,IBITINGA,2024,15,1,1,6,3,9
351970,IBIUNA,2024,18,,1,8,66,4
351980,ICEM,2024,5,,16,,4,2
351990,IEPE,2024,1,1,4,24,5,
352000,IGARACU DO TIETE,2024,15,6,2,21,8,
352010,IGARAPAVA,2024,10,1,19,13,19,56
352020,IGARATA,2024,,,,4,21,4
352030,IGUAPE,2024,29,1,1,59,1,3
352040,ILHABELA,2024,22,4,46,,2,10
352042,ILHA COMPRIDA,2024,11,1,1,,18,2
352044,ILHA SOLTEIRA,2024,6,,4,2,15,5
352050,INDAIATUBA,2024,77,11,4,28,4,
352060,INDIANA,2024,,2,5,,11,22
352070,INDIAPORA,2024,,,,2,38,6
352090,IPAUSSU,2024,3,2,9,3,,1
352100,IPERO,2024,33,1,8,4,1,
352110,IPEUNA,2024,2,,29,6,7,12
352115,IPIGUA,2024,2,5,,2,2,18
352120,IPORANGA,2024,5,,8,17,29,1
352130,IPUA,2024,4,,8,3,21,2
352140,IRACEMAPOLIS,2024,5,2,3,13,2,8
352150,IRAPUA,2024,3,2,1,,21,3
352160,IRAPURU,2024,16,2,1,84,1,2
352170,ITABERA,2024,5,1,1,1,,11
352180,ITAI,2024,11,,1,76,60,12
352190,ITAJOBI,2024,,34,10,62,9,4
352210,ITANHAEM,2024,103,,10,18,6,17
352220,ITAPECERICA DA SERRA,2024,84,1,1,113,7,1
352230,ITAPETININGA,2024,83,1,1,16,9,7
352240,ITAPEVA,2024,29,8,32,5,50,47
352250,ITAPEVI,2024,130,1,,2,16,6
352260,ITAPIRA,2024,20,,4,4,10,8
352270,ITAPOLIS,2024,5,2,72,,54,7
352280,ITAPORANGA,2024,3,1,1,110,2,7
352290,ITAPUI,2024,4,3,,7,7,6
352300,ITAPURA,2024,,,1,8,12,17
352310,ITAQUAQUECETUBA,2024,120,1,1,15,1,12
352320,ITARARE,2024,9,2,4,21,4,37
352330,ITARIRI,2024,7,54,1,26,2,
352340,ITATIBA,2024,15,,4,1,1,15
352350,ITATINGA,2024,20,10,8,1,3,11
352360,ITIRAPINA,2024,24,,43,39,1,2
352380,ITOBI,2024,1,1,19,20,21,8
352390,ITU,2024,53,1,4,3,19,1
352400,ITUPEVA,2024,19,1,1,1,3,2
352410,ITUVERAVA,2024,4,1,,16,10,1
352420,JABORANDI,2024,1,,20,50,60,
352430,JABOTICABAL,2024,20,,,1,2,1
352440,JACAREI,2024,59,5,3,5,1,15
352450,JACI,2024,,,2,13,102,9
352460,JACUPIRANGA,2024,5,,,5,2,2
352470,JAGUARIUNA,2024,17,4,,2,2,1
352480,JALES,2024,4,,5,41,,1
352500,JANDIRA,2024,47,,7,35,8,48
352510,JARDINOPOLIS,2024,35,3,1,7,44,
352520,JARINU,2024,8,3,,30,2,4
352530,JAU,2024,27,1,2,1,,70
352540,JERIQUARA,2024,1,2,3,12,13,
352570,JOSE BONIFACIO,2024,12,1,2,,97,
352580,JULIO MESQUITA,2024,1,1,,95,19,2
352590,JUNDIAI,2024,110,36,2,15,6,10
352600,JUNQUEIROPOLIS,2024,16,1,1,13,1,
352610,JUQUIA,2024,15,,7,16,,6
352620,JUQUITIBA,2024,14,45,1,1,55,
352630,LAGOINHA,2024,1,36,4,13,3,5
352640,LARANJAL PAULISTA,2024,18,,2,59,,73
352650,LAVINIA,2024,53,11,1,33,2,14
352670,LEME,2024,41,6,5,22,,8
352680,LENCOIS PAULISTA,2024,27,2,109,93,8,
352690,LIMEIRA,2024,99,1,1,2,11,27
352700,LINDOIA,2024,2,32,19,24,1,2
352710,LINS,2024,22,18,,22,,2
352720,LORENA,2024,28,2,,4,5,
352730,LOUVEIRA,2024,7,,,13,2,1
352740,LUCELIA,2024,14,2,4,,1,2
352780,LUPERCIO,2024,1,1366,3,2,1,7
352790,LUTECIA,2024,1,1,4,1,,7
352800,MACATUBA,2024,5,13,1,5,1,2
352810,MACAUBAL,2024,1,55,1,,1,
352820,MACEDONIA,2024,1,1,4,1,11,1
352830,MAGDA,2024,1,1,1,34,,1
352840,MAIRINQUE,2024,39,3,12,21,6,3
352850,MAIRIPORA,2024,25,3,1,4,1,
352860,MANDURI,2024,3,,,11,1,3
352870,MARABA PAULISTA,2024,11,,,1,2,
352880,MARACAI,2024,2,,1,97,1,1
352900,MARILIA,2024,110,,4,2,1,3
352920,MARTINOPOLIS,2024,2,62,2,3,8,1
352930,MATAO,2024,7,6,2,143,149,
352940,MAUA,2024,187,5,21,1,12,8
352950,MENDONCA,2024,2,,3,3,18,4
352970,MIGUELOPOLIS,2024,3,,6,,45,3
352980,MINEIROS DO TIETE,2024,1,19,16,11,,1
352990,MIRACATU,2024,11,1,1,56,6,
353010,MIRANDOPOLIS,2024,52,2,,,4,
353020,MIRANTE DO PARANAPANEMA,2024,1,,1,8,8,1
353030,MIRASSOL,2024,12,,1,,1,1
353040,MIRASSOLANDIA,2024,,,50,16,2,106
353050,MOCOCA,2024,23,4,6,162,,1
353060,MOGI DAS CRUZES,2024,162,11,1,24,3,16
353070,MOGI GUACU,2024,35,5,8,16,2,4
353080,MOGI MIRIM,2024,15,1,2,,12,
353090,MOMBUCA,2024,1,1,3,,5,14
353100,MONCOES,2024,,8,1,80,7,1
353110,MONGAGUA,2024,73,2,3,,1,5
353130,MONTE ALTO,2024,8,,14,7,,
353140,MONTE APRAZIVEL,2024,5,2,,3,,8
353150,MONTE AZUL PAULISTA,2024,1,1,9,2,2,1
353160,MONTE CASTELO,2024,1,1,1,1,3,
353180,MONTE MOR,2024,16,,7,2,8,
353190,MORRO AGUDO,2024,18,3,,15,2,1
353200,MORUNGABA,2024,1,2,,14,24,1
353205,MOTUCA,2024,,1,1,2,1,9
353215,NANTES,2024,2,6,1,2,3,1
353220,NARANDIBA,2024,2,2,2,2,4,
353230,NATIVIDADE DA SERRA,2024,,,135,1,26,15
353240,NAZARE PAULISTA,2024,9,,1,7,1,2
353250,NEVES PAULISTA,2024,2,,2,,,3
353260,NHANDEARA,2024,4,,20,4,2,1
353280,NOVA ALIANCA,2024,1,,1,1,78,4
353282,NOVA CAMPINA,2024,1,,1,1,2,2
353300,NOVA GRANADA,2024,4,,,1,34,1
353320,NOVA INDEPENDENCIA,2024,14,,1,2,,3
353325,NOVAIS,2024,1,,1,13,9,1
353330,NOVA LUZITANIA,2024,,,1,1,2,32
353340,NOVA ODESSA,2024,10,,,,9,2
353350,NOVO HORIZONTE,2024,5,,10,10,,4
353370,OCAUCU,2024,2,,2,4,6,17
353390,OLIMPIA,2024,9,,2,4,1,1
353400,ONDA VERDE,2024,2,,12,5,22,1
353410,ORIENTE,2024,,,86,,,1
353420,ORINDIUVA,2024,2,,1,,,1
353430,ORLANDIA,2024,5,,1,2,14,1
353440,OSASCO,2024,254,,25,8,2,64
353460,OSVALDO CRUZ,2024,13,,5,228,,4
353470,OURINHOS,2024,42,,4,14,25,6
353475,OUROESTE,2024,4,,1,28,2,1
353480,OURO VERDE,2024,,,,4,25,8
353490,PACAEMBU,2024,62,,1,62,10,2
353500,PALESTINA,2024,,,,1,2,8
353510,PALMARES PAULISTA,2024,,,,,209,1
353520,PALMEIRA D'OESTE,2024,1,,1,1,1,2
353530,PALMITAL,2024,14,,1,10,,1
353540,PANORAMA,2024,4,,,1,28,
353550,PARAGUACU PAULISTA,2024,14,,16,14,4,20
353560,PARAIBUNA,2024,1,,2,2,35,2
353580,PARANAPANEMA,2024,2,,3,2,7,6
353590,PARANAPUA,2024,,,,,3,
353600,PARAPUA,2024,3,,7,3,,1
353610,PARDINHO,2024,2,,2,2,,11
353620,PARIQUERA-ACU,2024,10,,2,12,1,6
353625,PARISI,2024,1,,5,1,,6
353640,PAULICEIA,2024,3,,1,2,,1
353650,PAULINIA,2024,40,,2,29,5,1
353660,PAULO DE FARIA,2024,7,,1,8,,
353670,PEDERNEIRAS,2024,12,,11,14,22,155
353680,PEDRA BELA,2024,2,,22,2,40,2
353690,PEDRANOPOLIS,2024,,,,,2,6
353700,PEDREGULHO,2024,,,1,7,2,4
353710,PEDREIRA,2024,7,,1,8,,29
353720,PEDRO DE TOLEDO,2024,9,,1,12,1,4
353730,PENAPOLIS,2024,15,,72,5,11,3
353740,PEREIRA BARRETO,2024,7,,1,,130,1
353750,PEREIRAS,2024,2,,,53,1,2
353760,PERUIBE,2024,56,,145,1,1,2
353780,PIEDADE,2024,6,,,3,24,4
353790,PILAR DO SUL,2024,9,,121,5,4,1
353800,PINDAMONHANGABA,2024,46,,14,34,1,2
353810,PINDORAMA,2024,1,,30,,18,25
353820,PINHALZINHO,2024,1,,11,2,1,3
353830,PIQUEROBI,2024,1,,,1,1,
353860,PIRACAIA,2024,3,,5,1,,1
353870,PIRACICABA,2024,171,,1,2,1,
353880,PIRAJU,2024,9,,7,135,1,14
353890,PIRAJUI,2024,40,,61,6,,129
353900,PIRANGI,2024,2,,56,41,20,5
353910,PIRAPORA DO BOM JESUS,2024,20,,3,2,5,
353920,PIRAPOZINHO,2024,7,,2,13,4,
353930,PIRASSUNUNGA,2024,20,,4,5,19,29
353940,PIRATININGA,2024,1,,3,19,3,4
353950,PITANGUEIRAS,2024,10,,2905,2,,4
353960,PLANALTO,2024,1,,5,8,4,4
353970,PLATINA,2024,1,,2,1,7,1
353980,POA,2024,46,,7,1,3,
354000,POMPEIA,2024,2,,21,42,3,
354010,PONGAI,2024,,,2,2,14,
354020,PONTAL,2024,21,,127,,21,2
354025,PONTALINDA,2024,2,,4,15,1,1
354030,PONTES GESTAL,2024,,,4,2,1,
354050,PORANGABA,2024,2,,6,,2,23
354060,PORTO FELIZ,2024,37,,1,1,113,2
354070,PORTO FERREIRA,2024,6,,8,33,1,4
354075,POTIM,2024,20,,3,8,,1
354080,POTIRENDABA,2024,1,,,33,1,
354085,PRACINHA,2024,10,,,10,,7
354090,PRADOPOLIS,2024,2,,94,,,3
354100,PRAIA GRANDE,2024,368,,32,322,182,1
354105,PRATANIA,2024,1,,44,1,,5
354110,PRESIDENTE ALVES,2024,2,,1,2,142,12
354120,PRESIDENTE BERNARDES,2024,33,,57,34,8,1
354130,PRESIDENTE EPITACIO,2024,9,,1,8,37,4
354140,PRESIDENTE PRUDENTE,2024,75,,,65,8,2
354150,PRESIDENTE VENCESLAU,2024,12,,2,12,4,10
354160,PROMISSAO,2024,6,,2,7,1,
354165,QUADRA,2024,,,1,,12,
354170,QUATA,2024,1,,1,1,95,19
354190,QUELUZ,2024,3,,2,3,86,
354200,QUINTANA,2024,2,,2,1,,1
354210,RAFARD,2024,2,,1,2,1,2
354220,RANCHARIA,2024,7,,2,8,8,1
354230,REDENCAO DA SERRA,2024,1,,19,1,3,
354240,REGENTE FEIJO,2024,1,,38,1,4446,95
354250,REGINOPOLIS,2024,21,,,26,4,1
354260,REGISTRO,2024,74,,,67,2,2
354280,RIBEIRA,2024,2,,,3,8,2
354290,RIBEIRAO BONITO,2024,2,,1,3,39,
354300,RIBEIRAO BRANCO,2024,5,,,4,1,
354320,RIBEIRAO DO SUL,2024,,,5,,1,187
354323,RIBEIRAO DOS INDIOS,2024,,,,,288,
354330,RIBEIRAO PIRES,2024,29,,,2,2,114
354340,RIBEIRAO PRETO,2024,259,,6,21,1,7
354350,RIVERSUL,2024,6,,3,241,30,25
354370,RINCAO,2024,,,29,5,6,12
354380,RINOPOLIS,2024,1,,1,,1,5
354390,RIO CLARO,2024,60,,,,16,3
354400,RIO DAS PEDRAS,2024,11,,6,47,2,68
354410,RIO GRANDE DA SERRA,2024,2,,2,6,1,67
354420,RIOLANDIA,2024,21,,1,5,,6
354425,ROSANA,2024,3,,1,22,3,3
354430,ROSEIRA,2024,,,16,4,156,4
354450,RUBINEIA,2024,,,10,,39,3
354470,SAGRES,2024,,,2,,64,3291
354490,SALES OLIVEIRA,2024,,,7,2,1,3
354500,SALESOPOLIS,2024,2,,1,,,2
354510,SALMOURAO,2024,1,,23,,81,8
354515,SALTINHO,2024,,,16,2,1,44
354520,SALTO,2024,41,,1,,,3
354530,SALTO DE PIRAPORA,2024,13,,1,,1,
354540,SALTO GRANDE,2024,9,,,38,9,151
354550,SANDOVALINA,2024,1,,,12,3,2
354560,SANTA ADELIA,2024,3,,,6,3,2
354570,SANTA ALBERTINA,2024,,,,1,1,8
354580,SANTA BARBARA D'OESTE,2024,32,,,3,2,8
354600,SANTA BRANCA,2024,7,,,,5,1
354610,SANTA CLARA D'OESTE,2024,1,,,30,7,11
354620,SANTA CRUZ DA CONCEICAO,2024,,,,6,,3
354630,SANTA CRUZ DAS PALMEIRAS,2024,5,,,1,2,1
354640,SANTA CRUZ DO RIO PARDO,2024,19,,,,1,
354650,SANTA ERNESTINA,2024,,,,7,24,
354660,SANTA FE DO SUL,2024,7,,,17,49,136
354670,SANTA GERTRUDES,2024,7,,,,,
354680,SANTA ISABEL,2024,29,,,6,,34
354690,SANTA LUCIA,2024,,,,6,,56
354700,SANTA MARIA DA SERRA,2024,,,,20,53,1
354710,SANTA MERCEDES,2024,1,,,,,1
354730,SANTANA DE PARNAIBA,2024,50,,,,,1
354740,SANTA RITA D'OESTE,2024,1,,,1,5,51
354750,SANTA RITA DO PASSA QUATRO,2024,3,,,30,17,3
354760,SANTA ROSA DE VITERBO,2024,1,,,1,41,2
354765,SANTA SALETE,2024,1,,,4,3,
354770,SANTO ANASTACIO,2024,2,,,1,,
354780,SANTO ANDRE,2024,216,,,1,1,1
354790,SANTO ANTONIO DA ALEGRIA,2024,1,,,1,1,
354800,SANTO ANTONIO DE POSSE,2024,1,,,190,5,3
354805,SANTO ANTONIO DO ARACANGUA,2024,4,,,1,15,6
354810,SANTO ANTONIO DO JARDIM,2024,,,,2,,1
354830,SANTO EXPEDITO,2024,,,,4,4,2
354840,SANTOPOLIS DO AGUAPEI,2024,,,,,9,18
354850,SANTOS,2024,404,,,,20,54
354860,SAO BENTO DO SAPUCAI,2024,1,,,,2,
354870,SAO BERNARDO DO CAMPO,2024,266,,,349,8,
354880,SAO CAETANO DO SUL,2024,21,,,1,1,2
354890,SAO CARLOS,2024,69,,,210,28,2
354900,SAO FRANCISCO,2024,1,,,13,16,1
354910,SAO JOAO DA BOA VISTA,2024,21,,,54,,26
354925,SAO JOAO DE IRACEMA,2024,,,,1,,8
354940,SAO JOAQUIM DA BARRA,2024,9,,,19,,10
354960,SAO JOSE DO BARREIRO,2024,1,,,7,,32
354970,SAO JOSE DO RIO PARDO,2024,13,,,8,,
354980,SAO JOSE DO RIO PRETO,2024,175,,,157,,1
354990,SAO JOSE DOS CAMPOS,2024,174,,,150,,
354995,SAO LOURENCO DA SERRA,2024,9,,,8,,1
355000,SAO LUIS DO PARAITINGA,2024,5,,,3,,9
355010,SAO MANUEL,2024,12,,,10,,9
355020,SAO MIGUEL ARCANJO,2024,9,,,6,,1
355030,SAO PAULO,2024,7736,,,6803,,3
355040,SAO PEDRO,2024,10,,,6,,13
355050,SAO PEDRO DO TURVO,2024,5,,,3,,10
355060,SAO ROQUE,2024,17,,,12,,1
355070,SAO SEBASTIAO,2024,75,,,80,,13
355080,SAO SEBASTIAO DA GRAMA,2024,4,,,2,,1
355090,SAO SIMAO,2024,,,,1,,
355100,SAO VICENTE,2024,368,,,401,,23
355110,SARAPUI,2024,1,,,2,,7
355120,SARUTAIA,2024,1,,,3,,1
355140,SERRA AZUL,2024,21,,,36,,1
355150,SERRANA,2024,17,,,14,,2
355160,SERRA NEGRA,2024,2,,,1,,
355170,SERTAOZINHO,2024,31,,,26,,
355180,SETE BARRAS,2024,4,,,2,,
355190,SEVERINIA,2024,3,,,3,,
355200,SILVEIRAS,2024,,,,,,
355210,SOCORRO,2024,3,,,3,,
355220,SOROCABA,2024,264,,,271,,
355230,SUD MENNUCCI,2024,,,,,,
355240,SUMARE,2024,88,,,65,,
355250,SUZANO,2024,142,,,106,,
355255,SUZANAPOLIS,2024,1,,,1,,
355260,TABAPUA,2024,2,,,2,,
355270,TABATINGA,2024,1,,,,,
355280,TABOAO DA SERRA,2024,139,,,107,,
355290,TACIBA,2024,6,,,7,,
355300,TAGUAI,2024,1,,,1,,
355310,TAIACU,2024,1,,,12,,
355320,TAIUVA,2024,9,,,1,,
355330,TAMBAU,2024,3,,,7,,
355340,TANABI,2024,9,,,1,,
355350,TAPIRAI,2024,2,,,1,,
355360,TAPIRATIBA,2024,1,,,,,
355365,TAQUARAL,2024,,,,6,,
355370,TAQUARITINGA,2024,8,,,15,,
355380,TAQUARITUBA,2024,16,,,,,
355385,TAQUARIVAI,2024,,,,3,,
355390,TARABAI,2024,4,,,1,,
355395,TARUMA,2024,3,,,37,,
355400,TATUI,2024,37,,,94,,
355410,TAUBATE,2024,121,,,,,
355420,TEJUPA,2024,,,,2,,
355430,TEODORO SAMPAIO,2024,2,,,,,
355440,TERRA ROXA,2024,,,,3,,
355450,TIETE,2024,2,,,1,,
355460,TIMBURI,2024,2,,,1,,
355470,TORRINHA,2024,,,,,,
355480,TREMEMBE,2024,71,,,77,,
355490,TRES FRONTEIRAS,2024,,,,,,
355495,TUIUTI,2024,,,,,,
355500,TUPA,2024,16,,,11,,
355510,TUPI PAULISTA,2024,27,,,25,,
355530,TURMALINA,2024,,,,,,
355540,UBATUBA,2024,72,,,55,,
355550,UBIRAJARA,2024,,,,,,
355560,UCHOA,2024,3,,,4,,
355580,URANIA,2024,1,,,1,,
355600,URUPES,2024,1,,,,,
355610,VALENTIM GENTIL,2024,3,,,1,,
355620,VALINHOS,2024,17,,,3,,
355630,VALPARAISO,2024,27,,,15,,
355635,VARGEM,2024,1,,,28,,
355640,VARGEM GRANDE DO SUL,2024,5,,,7,,
355645,VARGEM GRANDE PAULISTA,2024,28,,,14,,
355650,VARZEA PAULISTA,2024,34,,,28,,
355660,VERA CRUZ,2024,4,,,2,,
355670,VINHEDO,2024,20,,,17,,
355680,VIRADOURO,2024,3,,,3,,
355695,VITORIA BRASIL,2024,,,,,,
355700,VOTORANTIM,2024,50,,,35,,
355710,VOTUPORANGA,2024,32,,,19,,
355720,CHAVANTES,2024,2,,,1,,
355730,ESTIVA GERBI,2024,3,,,1,,
